,y+1
1750,2.136
1751,1.754
1752,0.862
1753,0.812
1754,0.8079999999999999
1755,0.8059999999999999
1756,0.812
1757,0.818
1758,0.82
1759,0.848
1760,0.914
1761,0.902
1762,0.902
1763,0.902
1764,0.902
1765,0.888
1766,0.892
1767,0.85
1768,0.7959999999999999
1769,0.9
1770,0.912
1771,0.912
1772,0.914
1773,0.938
1774,0.9520000000000001
1775,1.1159999999999999
1776,0.8640000000000001
1777,0.7240000000000001
1778,0.602
1779,0.5660000000000001
1780,0.5660000000000001
1781,0.5660000000000001
1782,0.564
1783,0.56
1784,0.5
1785,0.49200000000000005
1786,0.496
1787,0.498
1788,0.41600000000000004
1789,0.40399999999999997
1790,0.40399999999999997
1791,0.318
1792,0.292
1793,0.29
1794,0.28800000000000003
1795,0.28600000000000003
1796,0.28800000000000003
1797,0.396
1798,0.382
1799,0.382
1800,0.38
1801,0.37799999999999995
1802,0.444
1803,0.478
1804,0.47200000000000003
1805,0.47
1806,0.47
1807,0.46799999999999997
1808,0.46399999999999997
1809,0.462
1810,0.396
1811,0.37799999999999995
1812,0.37799999999999995
1813,0.376
1814,0.374
1815,0.44
1816,0.452
1817,0.45399999999999996
1818,0.45399999999999996
1819,0.452
1820,0.45
1821,0.446
1822,0.444
1823,0.442
1824,0.44
1825,0.38799999999999996
1826,0.366
1827,0.364
1828,0.366
1829,0.284
1830,0.276
1831,0.27399999999999997
1832,0.27399999999999997
